issues,labels,dates,reporters
Add missing alias to errors array,['activemodel'],2024-02-03 01:01:09,laomatt
esbuild precompilation error in rails 7.1.3,['unlabeled'],2024-02-02 14:43:34,PhilippGsell
Add webp as a default to active_storage.web_image_content_types,"['railties', 'docs', 'activestorage']",2024-02-02 12:51:26,lewispb
set default_enforce_utf8 to false,['actionview'],2024-02-02 11:11:21,ironsand
Add class name to enum validation exception message,['activerecord'],2024-02-02 11:07:18,amkisko
Add a Rails Guide for tuning performance for deployment,['docs'],2024-02-02 10:55:44,noahgibbs
Destroying bi-directional has_one through association only works from one end,['unlabeled'],2024-02-02 10:14:36,airblade
ActiveStorage::IntegrityError (ActiveStorage::IntegrityError),['unlabeled'],2024-02-02 04:43:40,raoehtesham03
Fix error raised when running `db:schema:load:#{name}` and test DB config is missing,"['activerecord', 'railties']",2024-02-02 03:17:31,ricardotk002
Introduce today_or_future? method,['activesupport'],2024-02-02 00:44:50,olimart
Enable DependencyTracker to evaluate interpolated paths,['actionview'],2024-02-01 23:46:28,skipkayhil
Setup jemalloc in default Dockerfile to optimize memory allocation,['railties'],2024-02-01 22:55:15,northeastprince
Retry `ActionableError`s when running tests,"['activesupport', 'railties', 'docs']",2024-02-01 21:50:43,andrewn617
Should there be a RAILS_MASTER_KEY_DUMMY like SECRET_KEY_BASE_DUMMY?,['unlabeled'],2024-02-01 14:57:42,dorianmariefr
Refactor QueryCache to be owned by the pool,['activerecord'],2024-02-01 13:40:41,casperisfine
Add ability to see on which shard the migration is being run,['activerecord'],2024-02-01 11:23:15,fatkodima
Rails 7.1 undefined method purge & same for variant using ruby 3.3.0-dev,"['activestorage', 'more-information-needed']",2024-02-01 05:45:14,kashifcodility
Rails 7.1 doesn't render Enumerator in view correctly,['unlabeled'],2024-02-01 02:21:08,kuwabarahiroshi
Fixes race condition for multiple preprocessed video variants,['activestorage'],2024-01-31 18:49:44,searls
Support encrypting binary columns,['activerecord'],2024-01-30 10:53:34,djmb
Add negative_scopes option to ActiveRecord's enum method,['activerecord'],2024-01-30 09:11:41,Jay0921
Unexpected controller prefix path de-duplication in view partial lookup paths,['unlabeled'],2024-01-30 04:10:56,sfnelson
Generate devcontainer files by default,"['actionpack', 'railties', 'activestorage', 'actionmailbox', 'actiontext']",2024-01-29 23:03:25,andrewn617
[ci skip] [docs] make increment requirement explicit,['activesupport'],2024-01-29 00:07:29,jamiemccarthy
[Fix #50897] Autosaving `has_one` sets foreign key attribute when unchanged,['activerecord'],2024-01-28 09:30:20,joshuay03
Incorrectly raising `ReadonlyAttributeError` when autosaving `has_one` association with readonly foreign key,"['activerecord', 'attached PR']",2024-01-27 12:29:15,Earlopain
Enhanced ActiveStorage variant tracking control,['activestorage'],2024-01-27 04:41:38,JaceBayless
Add cost argument to has_secure_password,['activemodel'],2024-01-26 22:52:13,t27duck
Documentation: Expand documentation on has_one_attached method [ci-skip].,['activestorage'],2024-01-26 20:02:30,Takahashi-Seiji
Introduce `ActiveSupport::TestCase.around`,"['activesupport', 'docs']",2024-01-26 15:29:23,seanpdoyle
"[Fix #50812] Don't duplicate selects, inner and outer joins when merging with STI",['activerecord'],2024-01-26 13:54:50,joshuay03
Document Attached::Model#attachment_changes [ci skip],"['docs', 'activestorage']",2024-01-26 13:18:39,tsvallender
Put plural inverse association inference behind a configuration flag,"['activerecord', 'railties']",2024-01-26 09:19:56,casperisfine
Transform actionpack documentation to Markdown,['actionpack'],2024-01-25 19:53:03,rafaelfranca
dump schema: ignore tables from any postgres schema,['activerecord'],2024-01-25 13:31:52,gagalago
Comparing `Time` object with an integer doesn't throw an error ,"['activesupport', 'With reproduction steps']",2024-01-24 22:29:19,tgxworld
Initialize ActiveRecord::Migrator.migrations_paths at application initialization,['activerecord'],2024-01-24 17:44:10,fsateler
Accept Tempfile as ActiveStorage attachable,['activestorage'],2024-01-24 10:31:28,shouichi
ActionView: Raise on invalid format,['actionview'],2024-01-24 08:37:24,3v0k4
Support options for ActionMailer delivery callbacks,['actionmailer'],2024-01-23 23:16:27,fatkodima
Document autosave validation behavior for ActiveRecord associations [ci skip],['activerecord'],2024-01-23 19:41:36,Dmoment
Action View: Fallback to existing partial when possible,['actionview'],2024-01-23 15:19:52,seanpdoyle
belongs_to association doesn't work with composite `primary_key` option,['activerecord'],2024-01-23 10:56:14,bguban
Fixes ActionView::Template::Error when pasting images via Trix,['actiontext'],2024-01-23 02:14:58,schristm
O(N^2) operation in `CollectionAssociation#replace_common_records_in_memory` and **another** O(N^2) operation in `ActiveStorage::Attached::Many#attach`,['unlabeled'],2024-01-23 01:29:33,malavbhavsar
Set ActiveRecord::RecordNotFound#id when raised from a call to #reload a deleted record,['activerecord'],2024-01-23 00:04:37,segiddins
`ActionView::Template::Error`: Missing Active Model partial when rendered from Controller declared in module,['unlabeled'],2024-01-22 22:05:18,seanpdoyle
How to use Azure Managed Identity for authentication and authorization for Ruby On Rails Active Storage?,['unlabeled'],2024-01-22 16:41:34,avivansh
Fix SQLite table definition parsing bug to handle commas in default function definitions,['activerecord'],2024-01-22 13:18:21,fractaledmind
